episode,scenario_id,scenario_type,epsilon,episode_reward,episode_length,done_reason,success
301,4,maze,0.860245,82.7,71,goal,1
302,3,maze,0.859815,40.5,105,goal,1
303,1,maze,0.859385,-485.0,450,timeout,0
304,6,maze,0.858956,66.2,66,goal2,1
305,3,maze,0.858526,-230.1,307,goal2,1
306,6,maze,0.858097,-113.7,259,goal2,1
307,3,maze,0.857668,-329.3,391,goal,1
308,1,maze,0.857239,-551.0,450,timeout,0
309,0,maze,0.85681,-157.4,278,goal,1
310,0,maze,0.856382,-207.9,313,goal,1
311,5,maze,0.855954,-66.6,182,goal2,1
312,3,maze,0.855526,-60.6,202,goal2,1
313,2,maze,0.855098,-176.3,281,goal2,1
314,3,maze,0.854671,104.1,53,goal2,1
315,3,maze,0.854243,-156.0,240,goal2,1
316,3,maze,0.853816,-10.8,136,goal,1
317,6,maze,0.853389,28.8,104,goal2,1
318,5,maze,0.852962,60.5,85,goal,1
319,0,maze,0.852536,-108.5,235,goal,1
320,5,maze,0.85211,-535.0,450,timeout,0
321,5,maze,0.851684,-531.0,450,timeout,0
322,5,maze,0.851258,26.9,97,goal,1
323,0,maze,0.850832,53.4,82,goal,1
324,0,maze,0.850407,-159.1,257,goal,1
325,3,maze,0.849982,-8.8,156,goal,1
326,5,maze,0.849557,66.1,73,goal,1
327,2,maze,0.849132,54.5,85,goal,1
328,6,maze,0.848707,40.8,104,goal,1
329,6,maze,0.848283,23.5,115,goal2,1
330,0,maze,0.847859,37.9,107,goal,1
331,1,maze,0.847435,-14.7,129,goal2,1
332,1,maze,0.847011,-347.5,445,goal,1
333,1,maze,0.846588,-181.2,284,goal,1
334,4,maze,0.846164,85.9,67,goal,1
335,3,maze,0.845741,11.4,122,goal2,1
336,1,maze,0.845318,-507.0,450,timeout,0
337,3,maze,0.844896,-543.0,450,timeout,0
338,1,maze,0.844473,10.4,132,goal2,1
339,2,maze,0.844051,-104.2,234,goal,1
340,3,maze,0.843629,56.2,86,goal,1
341,1,maze,0.843207,-114.0,240,goal,1
342,6,maze,0.842786,43.8,94,goal,1
343,0,maze,0.842364,43.6,88,goal,1
344,3,maze,0.841943,-36.8,156,goal2,1
345,6,maze,0.841522,-81.5,225,goal2,1
346,6,maze,0.841101,79.9,67,goal,1
347,6,maze,0.840681,-179.5,345,goal2,1
348,4,maze,0.84026,-90.6,222,goal,1
349,0,maze,0.83984,-47.4,198,goal,1
350,0,maze,0.83942,48.7,91,goal,1
351,5,maze,0.839001,56.5,85,goal,1
352,4,maze,0.838581,-6.5,155,goal,1
353,6,maze,0.838162,-429.0,450,timeout,0
354,0,maze,0.837743,66.2,86,goal,1
355,0,maze,0.837324,-42.7,189,goal,1
356,6,maze,0.836905,-4.0,160,goal2,1
357,6,maze,0.836487,39.6,128,goal2,1
358,1,maze,0.836068,-511.0,450,timeout,0
359,1,maze,0.83565,-20.5,135,goal2,1
360,3,maze,0.835233,-499.0,450,timeout,0
361,3,maze,0.834815,26.1,113,goal2,1
362,3,maze,0.834398,-23.7,159,goal2,1
363,1,maze,0.83398,-109.4,238,goal2,1
364,6,maze,0.833563,-445.0,450,timeout,0
365,3,maze,0.833147,33.0,110,goal,1
366,0,maze,0.83273,-56.6,202,goal,1
367,1,maze,0.832314,92.0,60,goal,1
368,3,maze,0.831898,95.6,48,goal2,1
369,0,maze,0.831482,71.6,88,goal,1
370,3,maze,0.831066,-191.8,326,goal,1
371,2,maze,0.83065,-136.7,269,goal,1
372,6,maze,0.830235,-128.8,256,goal2,1
373,6,maze,0.82982,-59.9,233,goal2,1
374,3,maze,0.829405,-497.0,450,timeout,0
375,2,maze,0.82899,77.9,67,goal2,1
376,3,maze,0.828576,-191.4,278,goal,1
377,5,maze,0.828161,34.7,111,goal2,1
378,5,maze,0.827747,91.7,61,goal,1
379,6,maze,0.827334,71.5,75,goal2,1
380,4,maze,0.82692,62.4,72,goal,1
381,5,maze,0.826506,70.2,66,goal2,1
382,5,maze,0.826093,62.8,64,goal2,1
383,3,maze,0.82568,-505.0,450,timeout,0
384,1,maze,0.825267,-200.7,329,goal,1
385,1,maze,0.824855,54.7,91,goal2,1
386,2,maze,0.824442,-20.9,143,goal,1
387,1,maze,0.82403,-493.0,450,timeout,0
388,0,maze,0.823618,42.2,106,goal,1
389,4,maze,0.823206,36.5,105,goal,1
390,5,maze,0.822795,61.3,89,goal2,1
391,4,maze,0.822383,-271.3,371,goal2,1
392,0,maze,0.821972,-23.2,184,goal2,1
393,5,maze,0.821561,55.6,88,goal2,1
394,2,maze,0.82115,55.9,87,goal,1
395,0,maze,0.82074,70.0,100,goal2,1
396,0,maze,0.820329,-64.0,200,goal,1
397,4,maze,0.819919,-245.5,385,goal,1
398,3,maze,0.819509,-216.8,316,goal2,1
399,4,maze,0.819099,-8.2,154,goal,1
400,6,maze,0.81869,71.1,103,goal2,1
401,4,maze,0.81828,15.9,107,goal,1
402,1,maze,0.817871,-248.0,380,goal,1
403,0,maze,0.817462,-68.9,203,goal,1
404,4,maze,0.817054,-439.0,450,timeout,0
405,0,maze,0.816645,-27.9,193,goal,1
406,6,maze,0.816237,-513.0,450,timeout,0
407,1,maze,0.815829,102.1,53,goal2,1
408,0,maze,0.815421,63.0,110,goal,1
409,4,maze,0.815013,88.4,52,goal,1
410,0,maze,0.814606,-82.2,254,goal2,1
411,5,maze,0.814198,76.1,73,goal2,1
412,6,maze,0.813791,-397.0,450,timeout,0
413,1,maze,0.813384,37.4,102,goal,1
414,3,maze,0.812978,46.6,118,goal,1
415,0,maze,0.812571,38.2,106,goal,1
416,4,maze,0.812165,78.2,66,goal2,1
417,1,maze,0.811759,-132.6,242,goal2,1
418,4,maze,0.811353,-300.6,422,goal2,1
419,4,maze,0.810947,63.7,81,goal,1
420,0,maze,0.810542,-144.5,275,goal2,1
421,4,maze,0.810136,-200.8,376,goal2,1
422,0,maze,0.809731,97.5,55,goal2,1
423,3,maze,0.809326,56.9,77,goal2,1
424,5,maze,0.808922,121.6,28,goal2,1
425,4,maze,0.808517,-178.7,349,goal2,1
426,4,maze,0.808113,54.7,91,goal,1
427,4,maze,0.807709,-16.7,169,goal2,1
